entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
European Union,0.021,0.015,0.013,0.012,0.011,0.011,0.011,0.008,0.010,0.007,0.007,0.010,0.006,0.007,0.008,0.007,0.004631
North Korea,0.015,0.008,0.011,0.007,0.004,0.007,0.008,0.008,0.006,0.046,0.013,0.013,0.018,0.016,0.062,0.018,0.004566
Ebola,0.000,0.004,0.004,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.031,0.005,0.004,0.004,0.003,0.004555
Arab,0.014,0.015,0.018,0.014,0.016,0.016,0.031,0.015,0.014,0.014,0.017,0.023,0.016,0.013,0.010,0.009,0.004502
Parental Leave,0.000,0.004,0.000,0.002,0.003,0.002,0.004,0.002,0.003,0.003,0.004,0.005,0.005,0.005,0.005,0.014,0.004386
Frederick Douglass,,,,,,,,,,,,,,,,,0.004369
American Armed Forces,0.010,0.008,0.010,0.009,0.008,0.006,0.007,0.006,0.007,0.006,0.005,0.006,0.007,0.007,0.006,0.011,0.004363
Border Patrol Agents,0.005,0.000,0.005,0.005,0.003,0.007,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.004,0.003,0.005,0.004266
gun control,0.008,0.007,0.004,0.004,0.005,0.007,0.003,0.006,0.003,0.033,0.007,0.003,0.013,0.004,0.003,0.004,0.004193
Common core,0.000,0.004,0.003,0.003,0.002,0.003,0.003,0.005,0.010,0.020,0.028,0.029,0.024,0.017,0.015,0.011,0.004176
Thrift Savings Plan,0.015,0.022,0.015,0.014,0.013,0.008,0.008,0.011,0.009,0.010,0.009,0.010,0.007,0.009,0.009,0.007,0.004138
Historically black colleges and universities,,,,,,,,,,,,,,,,,0.004035
Department of State,0.024,0.024,0.025,0.023,0.019,0.024,0.016,0.017,0.013,0.010,0.011,0.010,0.007,0.011,0.007,0.005,0.004009
Federal reserve system,0.021,0.027,0.024,0.014,0.000,0.017,0.019,0.014,0.017,0.010,0.018,0.011,0.015,0.012,0.015,0.008,0.003965
Tariff,0.007,0.007,0.010,0.005,0.005,0.006,0.007,0.005,0.005,0.005,0.006,0.007,0.006,0.009,0.008,0.018,0.003963
Capitol,0.007,0.008,0.009,0.004,0.004,0.006,0.004,0.007,0.005,0.004,0.005,0.006,0.006,0.005,0.009,0.009,0.003958
Torture,0.016,0.016,0.013,0.008,0.009,0.011,0.012,0.010,0.010,0.009,0.010,0.012,0.008,0.010,0.008,0.008,0.003821
Denmark,0.015,0.017,0.025,0.008,0.012,0.010,0.012,0.011,0.013,0.007,0.010,0.010,0.010,0.010,0.010,0.008,0.003818
NATO,0.008,0.009,0.005,0.003,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.006,0.005,0.014,0.006,0.023,0.003801
Federal Housing Administration,0.008,0.008,0.007,0.005,0.017,0.026,0.017,0.014,0.016,0.013,0.010,0.014,0.010,0.011,0.011,0.008,0.003733
Homeland Security Department,0.026,0.022,0.021,0.024,0.018,0.022,0.019,0.016,0.014,0.013,0.014,0.014,0.012,0.015,0.014,0.030,0.003702
Edison,0.006,0.005,0.007,0.007,0.007,0.009,0.009,0.010,0.010,0.009,0.008,0.008,0.008,0.010,0.010,0.009,0.003683
Law Enforcement,0.012,0.010,0.011,0.007,0.009,0.010,0.008,0.008,0.008,0.008,0.007,0.006,0.007,0.008,0.007,0.007,0.003615
Hungary,0.012,0.015,0.009,0.008,0.007,0.006,0.011,0.007,0.005,0.004,0.005,0.006,0.005,0.005,0.005,0.005,0.003532
Mad Men,0.000,0.000,0.000,0.000,0.002,0.005,0.009,0.010,0.015,0.009,0.011,0.008,0.007,0.005,0.005,0.006,0.003440
Neil Gorsuch,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.003,0.002,0.003404
Hispanic American,0.009,0.008,0.008,0.004,0.006,0.006,0.004,0.004,0.003,0.005,0.004,0.003,0.003,0.005,0.005,0.006,0.003359
